rank,title,year,length,rating,votes
156,Finding Nemo,2003,1h 40m,8.2,1.1M
157,Rashomon,1950,1h 28m,8.2,180K
158,Prisoners,2013,2h 33m,8.2,807K
159,Howl's Moving Castle,2004,1h 59m,8.2,447K
160,The Elephant Man,1980,2h 4m,8.2,258K
161,Chinatown,1974,2h 10m,8.1,349K
162,Dial M for Murder,1954,1h 45m,8.2,188K
163,Gone with the Wind,1939,3h 58m,8.2,334K
164,V for Vendetta,2005,2h 12m,8.2,1.2M
165,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1,615K
166,The Secret in Their Eyes,2009,2h 9m,8.2,222K
167,Inside Out,2015,1h 35m,8.1,783K
168,Raging Bull,1980,2h 9m,8.1,379K
169,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1,554K
170,Trainspotting,1996,1h 33m,8.1,724K
171,The Bridge on the River Kwai,1957,2h 41m,8.1,233K
172,Spider-Man: No Way Home,2021,2h 28m,8.2,875K
173,Fargo,1996,1h 38m,8.1,725K
174,Klaus,2019,1h 36m,8.2,189K
175,Catch Me If You Can,2002,2h 21m,8.1,1.1M
176,Warrior,2011,2h 20m,8.1,497K
177,Godzilla Minus One,2023,2h 4m,8.3,48K
178,Gran Torino,2008,1h 56m,8.1,814K
179,My Neighbor Totoro,1988,1h 26m,8.1,379K
180,Million Dollar Baby,2004,2h 12m,8.1,721K
181,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1,946K
182,Children of Heaven,1997,1h 29m,8.2,81K
183,12 Years a Slave,2013,2h 14m,8.1,740K
184,Blade Runner,1982,1h 57m,8.1,822K
185,Before Sunrise,1995,1h 41m,8.1,338K
186,Ben-Hur,1959,3h 32m,8.1,253K
187,The Grand Budapest Hotel,2014,1h 39m,8.1,885K
188,Barry Lyndon,1975,3h 5m,8.1,183K
189,Gone Girl,2014,2h 29m,8.1,1.1M
190,Hacksaw Ridge,2016,2h 19m,8.1,592K
191,The Gold Rush,1925,1h 35m,8.1,118K
192,Memories of Murder,2003,2h 12m,8.1,215K
193,In the Name of the Father,1993,2h 13m,8.1,187K
194,Dead Poets Society,1989,2h 8m,8.1,544K
195,On the Waterfront,1954,1h 48m,8.1,164K
196,The General,1926,1h 18m,8.1,98K
197,The Deer Hunter,1978,3h 3m,8.1,362K
198,Wild Tales,2014,2h 2m,8.1,216K
199,Mad Max: Fury Road,2015,2h,8.1,1.1M
200,"Monsters, Inc.",2001,1h 32m,8.1,977K
201,Sherlock Jr.,1924,45m,8.2,57K
202,The Third Man,1949,1h 33m,8.1,182K
203,Wild Strawberries,1957,1h 31m,8.1,115K
204,The Wages of Fear,1953,2h 11m,8.2,66K
205,Jaws,1975,2h 4m,8.1,658K
206,How to Train Your Dragon,2010,1h 38m,8.1,798K
207,Mary and Max,2009,1h 32m,8.1,187K
208,Mr. Smith Goes to Washington,1939,2h 9m,8.1,121K
209,Ratatouille,2007,1h 51m,8.1,822K
210,Ford v Ferrari,2019,2h 32m,8.1,471K
211,The Big Lebowski,1998,1h 57m,8.1,859K
212,Tokyo Story,1953,2h 16m,8.1,68K
213,Room,2015,1h 58m,8.1,449K
214,The Seventh Seal,1957,1h 36m,8.1,198K
215,Rocky,1976,2h,8.1,627K
216,Logan,2017,2h 17m,8.1,829K
217,Spotlight,2015,2h 9m,8.1,501K
218,Hotel Rwanda,2004,2h 1m,8.1,372K
219,Platoon,1986,2h,8.1,439K
220,The Terminator,1984,1h 47m,8.1,922K
221,The Passion of Joan of Arc,1928,1h 54m,8.1,61K
222,Before Sunset,2004,1h 20m,8.1,287K
223,La haine,1995,1h 38m,8.1,196K
224,The Best Years of Our Lives,1946,2h 50m,8.1,70K
225,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,1.2M
226,The Exorcist,1973,2h 2m,8.1,454K
227,Rush,2013,2h 3m,8.1,512K
228,Jai Bhim,2021,2h 44m,8.7,217K
229,Network,1976,2h 1m,8.1,170K
230,Stand by Me,1986,1h 29m,8.1,441K
231,The Wizard of Oz,1939,1h 42m,8.1,428K
232,The Incredibles,2004,1h 55m,8.0,807K
233,Hachi: A Dog's Tale,2009,1h 33m,8.1,311K
234,The Handmaiden,2016,2h 25m,8.1,172K
235,Into the Wild,2007,2h 28m,8.1,657K
